offense_id,category,date,time,neighborhood,npu,x,y
153350806,LARCENY-NON VEHICLE,12/1/2015,3:00:00,South River Gardens,Z,-84.3563,33.67104
153350826,LARCENY-NON VEHICLE,12/1/2015,7:55:00,Vine City,L,-84.41457,33.75504
153350839,LARCENY-FROM VEHICLE,11/30/2015,23:00:00,Old Fourth Ward,M,-84.38025,33.77117
153350863,LARCENY-NON VEHICLE,11/30/2015,17:30:00,Midtown,E,-84.38421,33.77829
153350878,LARCENY-FROM VEHICLE,11/30/2015,22:00:00,East Lake,O,-84.29654,33.74639
153350918,LARCENY-FROM VEHICLE,12/1/2015,2:00:00,Grant Park,W,-84.36643,33.74128
153351053,AUTO THEFT,11/30/2015,19:45:00,Harvel Homes Community,J,-84.46824,33.75867
153351116,LARCENY-NON VEHICLE,11/24/2015,23:00:00,Midtown,E,-84.39164,33.79874
153351133,LARCENY-FROM VEHICLE,11/25/2015,15:00:00,Rosedale Heights,Z,-84.36921,33.68088
153351215,LARCENY-FROM VEHICLE,11/29/2015,0:01:00,Home Park,E,-84.41436,33.78251
153351235,LARCENY-FROM VEHICLE,11/30/2015,20:30:00,Pittsburgh,V,-84.40759,33.72254
153351239,LARCENY-FROM VEHICLE,11/30/2015,18:00:00,Atlanta University Center,T,-84.41403,33.75071
153351249,LARCENY-FROM VEHICLE,11/30/2015,16:30:00,Buckhead Village,B,-84.37533,33.83888
153351267,LARCENY-NON VEHICLE,11/30/2015,18:00:00,Polar Rock,Z,-84.38907,33.69695
153351298,AUTO THEFT,10/1/2015,9:00:00,Summerhill,V,-84.38686,33.74229
153351301,LARCENY-FROM VEHICLE,11/30/2015,10:00:00,Poncey-Highland,N,-84.35039,33.77374
153351343,BURGLARY-RESIDENCE,12/1/2015,10:30:00,Mt. Paran/Northside,A,-84.43646,33.8691
153351358,LARCENY-NON VEHICLE,11/27/2015,6:00:00,North Buckhead,B,-84.37956,33.86495
153351406,BURGLARY-RESIDENCE,12/1/2015,8:00:00,NULL,I,-84.49102,33.75254
153351440,LARCENY-NON VEHICLE,11/27/2015,1:30:00,Ansley Park,E,-84.37262,33.79351
153351457,LARCENY-FROM VEHICLE,12/1/2015,11:00:00,Brookhaven,B,-84.35184,33.8715
153351487,LARCENY-NON VEHICLE,11/27/2015,8:00:00,Grant Park,W,-84.37877,33.73937
153351493,BURGLARY-RESIDENCE,12/1/2015,11:50:00,Springlake,C,-84.41093,33.81016
153351531,LARCENY-FROM VEHICLE,12/1/2015,1:00:00,Amal Heights,Y,-84.39766,33.70916
153351547,LARCENY-NON VEHICLE,12/1/2015,12:14:00,Vine City,L,-84.41457,33.75504
153351572,LARCENY-FROM VEHICLE,11/28/2015,20:25:00,Home Park,E,-84.4097,33.78128
153351610,BURGLARY-RESIDENCE,12/1/2015,12:30:00,Lindbergh/Morosgo,B,-84.37069,33.81907
153351624,BURGLARY-RESIDENCE,12/1/2015,9:30:00,Channing Valley,C,-84.40877,33.80828
153351675,BURGLARY-RESIDENCE,12/1/2015,12:30:00,South Atlanta,Y,-84.38404,33.71327
153351733,LARCENY-NON VEHICLE,12/1/2015,13:30:00,Poncey-Highland,N,-84.35467,33.7734
153351783,AUTO THEFT,12/1/2015,5:00:00,Southwest,R,-84.49098,33.69261
153351787,BURGLARY-RESIDENCE,12/1/2015,9:45:00,Pleasant Hill,A,-84.43427,33.85753
153351836,BURGLARY-RESIDENCE,12/1/2015,14:10:00,Inman Park,N,-84.35835,33.76267
153351839,ROBBERY-COMMERCIAL,12/1/2015,14:15:00,Downtown,M,-84.39192,33.75218
153351875,BURGLARY-RESIDENCE,12/1/2015,7:30:00,NULL,R,-84.4438,33.71076
153351921,BURGLARY-RESIDENCE,12/1/2015,11:00:00,Lindbergh/Morosgo,B,-84.37069,33.81907
153351944,LARCENY-NON VEHICLE,11/30/2015,16:35:00,West End,T,-84.4168,33.74057
153351960,LARCENY-FROM VEHICLE,12/1/2015,14:00:00,Brookview Heights,G,-84.47783,33.7876
153351973,LARCENY-NON VEHICLE,12/1/2015,14:34:00,Adair Park,V,-84.40796,33.72142
153352006,AGG ASSAULT,12/1/2015,15:33:00,Campbellton Road,R,-84.45511,33.70313
153352037,BURGLARY-RESIDENCE,12/1/2015,13:00:00,Hammond Park,X,-84.4057,33.67626
153352047,BURGLARY-RESIDENCE,11/29/2015,9:00:00,West Manor,I,-84.50014,33.73668
153352105,LARCENY-NON VEHICLE,11/13/2015,14:00:00,Buckhead Forest,B,-84.37311,33.84425
153352186,LARCENY-NON VEHICLE,11/14/2015,20:00:00,Peachtree Heights West,B,-84.38182,33.83991
153352189,LARCENY-NON VEHICLE,11/30/2015,19:00:00,Custer/McDonough/Guice,W,-84.35849,33.70979
153352233,BURGLARY-RESIDENCE,12/1/2015,12:45:00,Old Fourth Ward,M,-84.37468,33.76715
153352259,LARCENY-FROM VEHICLE,12/1/2015,16:10:00,Cabbagetown,N,-84.36339,33.75179
153352321,LARCENY-FROM VEHICLE,12/1/2015,14:05:00,East Chastain Park,B,-84.38063,33.86038
153352384,AUTO THEFT,12/1/2015,8:00:00,Southwest,R,-84.47328,33.70527
153352420,BURGLARY-RESIDENCE,12/1/2015,9:00:00,The Villages at Carver,Y,-84.39276,33.71691
153352424,LARCENY-NON VEHICLE,12/1/2015,17:22:00,Berkeley Park,D,-84.41278,33.80388
153352445,AGG ASSAULT,12/1/2015,17:19:00,NULL,P,-84.5001,33.66831
153352642,BURGLARY-RESIDENCE,12/1/2015,8:50:00,Old Fourth Ward,M,-84.37323,33.76128
153352692,AUTO THEFT,12/1/2015,17:00:00,Harland Terrace,I,-84.47273,33.7535
153352820,AGG ASSAULT,12/1/2015,18:45:00,Old Fourth Ward,M,-84.3734,33.76511
153352825,ROBBERY-COMMERCIAL,12/1/2015,18:35:00,Cascade Avenue/Road,S,-84.43795,33.73323
153352851,LARCENY-NON VEHICLE,11/27/2015,12:00:00,Buckhead Village,B,-84.37694,33.8388
153352877,BURGLARY-RESIDENCE,11/29/2015,15:30:00,Westview,T,-84.44197,33.73579
153352977,LARCENY-FROM VEHICLE,12/1/2015,18:00:00,NULL,E,-84.38177,33.80885
153353002,LARCENY-NON VEHICLE,12/1/2015,19:20:00,Edgewood,O,-84.34813,33.75605
153353031,ROBBERY-PEDESTRIAN,12/1/2015,18:00:00,West End,T,-84.41593,33.7376
153353154,LARCENY-FROM VEHICLE,12/1/2015,17:45:00,Old Fourth Ward,M,-84.3747,33.76147
153353164,LARCENY-FROM VEHICLE,12/1/2015,19:15:00,Inman Park,N,-84.35553,33.7645
153353301,LARCENY-FROM VEHICLE,12/1/2015,18:30:00,Edgewood,O,-84.34377,33.75125
153353304,LARCENY-FROM VEHICLE,12/1/2015,18:00:00,Morningside/Lenox Park,F,-84.35797,33.81053
153353359,LARCENY-NON VEHICLE,12/1/2015,22:10:00,Edgewood,O,-84.34619,33.75674
153353362,LARCENY-FROM VEHICLE,12/1/2015,17:15:00,Berkeley Park,D,-84.41278,33.80388
153353386,BURGLARY-RESIDENCE,12/1/2015,16:05:00,Pittsburgh,V,-84.40177,33.73396
153353427,AGG ASSAULT,12/1/2015,23:00:00,Arlington Estates,P,-84.53526,33.69469
153353435,AUTO THEFT,12/1/2015,22:45:00,The Villages at Carver,Y,-84.38851,33.71265
153353451,ROBBERY-PEDESTRIAN,12/1/2015,23:15:00,Venetian Hills,S,-84.45385,33.70827
153353539,ROBBERY-PEDESTRIAN,12/1/2015,23:45:00,Downtown,M,-84.39674,33.74808
153358025,LARCENY-NON VEHICLE,11/30/2015,14:00:00,NULL,NULL,-84.44824,33.63751
153358040,LARCENY-NON VEHICLE,11/30/2015,14:48:00,NULL,NULL,-84.42884,33.63871
153360090,LARCENY-FROM VEHICLE,12/1/2015,21:00:00,Princeton Lakes,P,-84.51309,33.65738
153360103,ROBBERY-RESIDENCE,12/2/2015,0:15:00,Adamsville,H,-84.50377,33.75398
153360111,LARCENY-FROM VEHICLE,12/2/2015,0:30:00,Southwest,R,-84.49585,33.70066
153360199,AUTO THEFT,12/2/2015,1:10:00,South Atlanta,Y,-84.3819,33.70866
153360557,LARCENY-FROM VEHICLE,12/2/2015,4:35:00,Glenrose Heights,Z,-84.39126,33.66008
153360599,ROBBERY-PEDESTRIAN,12/2/2015,5:00:00,Pittsburgh,V,-84.403,33.7232
153360652,LARCENY-FROM VEHICLE,12/2/2015,6:05:00,Oakland City,S,-84.42836,33.72464
153360858,AUTO THEFT,12/1/2015,19:30:00,West End,T,-84.41953,33.73628
153360862,LARCENY-FROM VEHICLE,12/2/2015,5:55:00,Morningside/Lenox Park,F,-84.36631,33.81108
153360864,AUTO THEFT,12/2/2015,8:05:00,East Lake,O,-84.29814,33.7512
153360866,AGG ASSAULT,12/2/2015,7:50:00,Sweet Auburn,M,-84.37186,33.75275
153360877,LARCENY-FROM VEHICLE,11/27/2015,14:00:00,Atlanta Industrial Park,G,-84.49314,33.80404
153360934,AGG ASSAULT,12/2/2015,6:00:00,Glenrose Heights,Z,-84.39683,33.67069
153360950,AGG ASSAULT,12/2/2015,8:30:00,Adamsville,H,-84.51393,33.76043
153361011,LARCENY-FROM VEHICLE,12/2/2015,8:00:00,Atlanta University Center,T,-84.40283,33.75287
153361026,LARCENY-NON VEHICLE,11/29/2015,0:00:00,Sweet Auburn,M,-84.37288,33.75416
153361141,ROBBERY-COMMERCIAL,12/2/2015,9:52:00,Custer/McDonough/Guice,W,-84.35014,33.71478
153361146,LARCENY-FROM VEHICLE,12/1/2015,18:22:00,Ashview Heights,T,-84.42452,33.74927
153361199,LARCENY-NON VEHICLE,12/1/2015,15:30:00,Center Hill,J,-84.46976,33.76633
153361206,AUTO THEFT,12/2/2015,10:00:00,Greenbriar,R,-84.48861,33.68999
153361259,LARCENY-FROM VEHICLE,12/1/2015,10:00:00,Southwest,R,-84.49859,33.6982
153361328,LARCENY-NON VEHICLE,12/2/2015,10:50:00,Greenbriar,R,-84.48742,33.68841
153361349,LARCENY-NON VEHICLE,10/16/2015,11:28:00,Lindbergh/Morosgo,B,-84.36521,33.824
153361368,LARCENY-NON VEHICLE,11/25/2015,18:00:00,Sweet Auburn,M,-84.37695,33.75355
153361402,LARCENY-NON VEHICLE,12/2/2015,2:00:00,Hammond Park,X,-84.40164,33.6806
153361449,BURGLARY-RESIDENCE,12/2/2015,8:00:00,Grant Park,W,-84.36424,33.73346
153361456,BURGLARY-RESIDENCE,11/25/2015,12:00:00,Washington Park,K,-84.41952,33.76125
153361472,LARCENY-FROM VEHICLE,12/2/2015,11:00:00,Brookhaven,B,-84.35756,33.8639
153361565,LARCENY-FROM VEHICLE,12/2/2015,12:00:00,Peoplestown,V,-84.39229,33.72059
153361607,BURGLARY-RESIDENCE,12/2/2015,11:35:00,NULL,I,-84.49102,33.7567
153361619,BURGLARY-RESIDENCE,11/27/2015,15:00:00,Scotts Crossing,G,-84.46653,33.80286
153361703,LARCENY-FROM VEHICLE,12/2/2015,12:00:00,Castleberry Hill,M,-84.40132,33.74964
153361737,LARCENY-NON VEHICLE,12/2/2015,13:00:00,Audobon Forest,I,-84.47016,33.72676
153361742,ROBBERY-COMMERCIAL,12/2/2015,13:25:00,Midtown,E,-84.38055,33.77265
153361761,BURGLARY-RESIDENCE,12/2/2015,8:00:00,Sylvan Hills,X,-84.41333,33.70191
153361779,LARCENY-NON VEHICLE,11/30/2015,21:00:00,The Villages at Carver,Y,-84.39276,33.71691
153361787,LARCENY-NON VEHICLE,12/2/2015,13:30:00,Lenox,B,-84.3595,33.85182
153361792,LARCENY-FROM VEHICLE,12/2/2015,12:20:00,East Chastain Park,B,-84.38014,33.87789
153361816,LARCENY-FROM VEHICLE,12/2/2015,9:00:00,Marietta Street Artery,E,-84.40849,33.77795
153361867,LARCENY-NON VEHICLE,12/2/2015,14:00:00,Vine City,L,-84.41378,33.75488
153361875,BURGLARY-RESIDENCE,11/29/2015,21:00:00,The Villages at Carver,Y,-84.38919,33.71304
153361881,BURGLARY-RESIDENCE,12/2/2015,8:00:00,Buckhead Forest,B,-84.38292,33.85129
153361883,LARCENY-FROM VEHICLE,12/2/2015,10:30:00,Heritage Valley,P,-84.49887,33.70238
153361897,AUTO THEFT,11/27/2015,21:00:00,Morningside/Lenox Park,F,-84.36817,33.79615
153361905,AUTO THEFT,12/1/2015,19:00:00,Berkeley Park,D,-84.41119,33.7995
153361909,LARCENY-NON VEHICLE,12/2/2015,14:55:00,Edgewood,O,-84.34619,33.75674
153361928,LARCENY-FROM VEHICLE,11/30/2015,16:30:00,Virginia Highland,F,-84.36019,33.77418
153361930,AUTO THEFT,12/2/2015,12:00:00,Perkerson,X,-84.4067,33.6929
153361966,LARCENY-NON VEHICLE,12/2/2015,15:00:00,Atlanta University Center,T,-84.41491,33.75327
